"equator_url","guideline_id","acronym","title"
"https://www.equator-network.org/reporting-guidelines/strobe-gema-a-strobe-extension-for-reporting-of-geographically-explicit-ecological-momentary-assessment-studies/","strobe-gema","STROBE-GEMA","STROBE-GEMA : a STROBE extension for reporting of geographically explicit ecological momentary assessment studies"
"https://www.equator-network.org/reporting-guidelines/letter-to-the-editor-standards-letters-considerations-for-authors-reviewers-and-editors/","letters","LETTERS","LETter To the EditoR Standards (LETTERS) : Considerations for Authors, Reviewers, and Editors"
"https://www.equator-network.org/reporting-guidelines/a-reporting-checklist-for-discrete-choice-experiments-in-health-the-direct-checklist/","direct","DIRECT","A Reporting Checklist for Discrete Choice Experiments in Health: The DIRECT Checklist"
"https://www.equator-network.org/reporting-guidelines/the-ohstat-guidelines-for-reporting-observational-studies-and-clinical-trials-in-oral-health-research-manuscript-checklist/","ohstat","OHStat","The OHStat Guidelines for Reporting Observational Studies and Clinical Trials in Oral Health Research: Manuscript Checklist"
"https://www.equator-network.org/reporting-guidelines/reflexology-specific-guidance-for-using-the-template-for-the-intervention-description-and-replication-tidier-a-delphi-study/","reflexology-specific-guidance-for-using-the-template-for","","Reflexology specific guidance for using the template for the intervention description and replication (TIDieR) : A delphi study"
"https://www.equator-network.org/reporting-guidelines/a-consensus-guideline-on-preferred-items-for-reporting-case-series-in-homeopathy-the-pitch-statement/","pitch","PITCH","A consensus guideline on preferred items for reporting case series in homeopathy: The PITCH statement"
"https://www.equator-network.org/reporting-guidelines/delphi-studies-in-social-and-health-sciences-recommendations-for-an-interdisciplinary-standardized-reporting-delphistar-results-of-a-delphi-study/","delphistar","DELPHISTAR","Delphi studies in social and health sciences -Recommendations for an interdisciplinary standardized reporting (DELPHISTAR) . Results of a Delphi study"
"https://www.equator-network.org/reporting-guidelines/reforms-consensus-based-recommendations-for-machine-learning-based-science/","reforms-consensus-based-recommendations-for-machine-learning-based-science","","REFORMS : Consensus-based Recommendations for Machine-learning-based Science"
"https://www.equator-network.org/reporting-guidelines/reporting-conflicts-of-interest-and-funding-in-health-care-guidelines-the-right-coif-checklist/","right-coi-and-f","RIGHT-COI&F","Reporting Conflicts of Interest and Funding in Health Care Guidelines: The RIGHT-COI &F Checklist"
"https://www.equator-network.org/reporting-guidelines/improving-laboratory-animal-genetic-reporting-lag-r-guidelines/","lag-r","LAG-R","Improving laboratory animal genetic reporting: LAG-R guidelines"
"https://www.equator-network.org/reporting-guidelines/standardized-reporting-on-studies-of-psychiatric-pharmacist-interventions/","epacir","EPaCIR","Standardized reporting on studies of psychiatric pharmacist interventions"
"https://www.equator-network.org/reporting-guidelines/reporting-guidelines-for-evidence-based-practice-projects-a-delphi-study-and-publication-checklist/","reporting-guidelines-for-evidence-based-practice-projects-a-delphi","","Reporting guidelines for evidence-based practice projects: A Delphi study and publication checklist"
"https://www.equator-network.org/reporting-guidelines/moving-forward-on-tumor-pathology-research-reporting-a-guide-for-pathologists-from-the-world-health-organization-classification-of-tumors-living-evidence-gap-map-by-tumour-type-group/","moving-forward-on-tumor-pathology-research-reporting-a","","Moving Forward on Tumor Pathology Research Reporting: A Guide for Pathologists From the World Health Organization Classification of Tumors Living Evidence Gap Map by Tumour Type Group"
"https://www.equator-network.org/reporting-guidelines/checkap-a-checklist-for-reporting-a-knowledge-attitude-and-practice-kap-study/","checkap","ChecKAP","Chec KAP : A Checklist for Reporting a Knowledge, Attitude, and Practice (KAP) Study"
"https://www.equator-network.org/reporting-guidelines/enhancing-the-quality-of-evidence-comparability-and-reproducibility-in-ventriculoatrial-shunt-research-for-normal-pressure-hydrocephalus-a-systematic-review-and-vas-nph-reporting-guideline/","vas-nph","VAS-NPH","Enhancing the quality of evidence, comparability, and reproducibility in ventriculoatrial shunt research for normal pressure hydrocephalus: A systematic review and VAS-NPH reporting guideline"
"https://www.equator-network.org/reporting-guidelines/development-and-validation-of-observational-and-qualitative-study-protocol-reporting-checklists-for-novice-researchers-obsqual-checklist/","obsqual","ObsQual","Development and validation of observational and qualitative study protocol reporting checklists for novice researchers (ObsQual checklist)"
"https://www.equator-network.org/reporting-guidelines/pridase-2024-guidelines-for-reporting-diagnostic-accuracy-studies-in-endodontics-a-consensus-based-development/","pridase","PRIDASE","PRIDASE 2024 guidelines for reporting diagnostic accuracy studies in endodontics: A consensus-based development"
"https://www.equator-network.org/reporting-guidelines/guideline-for-rsa-and-ct-rsa-implant-migration-measurements-an-update-of-standardizations-and-recommendations/","guideline-for-rsa-and-ct-rsa-implant-migration-measurements","","Guideline for RSA and CT-RSA implant migration measurements: an update of standardizations and recommendations"
"https://www.equator-network.org/reporting-guidelines/the-picots-comtec-framework-for-defining-digital-health-interventions-an-ispor-special-interest-group-report/","picots-comtec","PICOTS-ComTeC","The PICOTS-ComTeC Framework for Defining Digital Health Interventions: An ISPOR Special Interest Group Report"
