"guideline_id","acronym","file_index","file_label","source_url","host","ext","local_path","status","http_status","content_type","bytes","sha256","detected","type_mismatch"
"prisma-a","PRISMA-A",3,"PDF","https://www.equator-network.org/wp-content/uploads/2019/08/PRISMA-A-checklist-Chinese.pdf","www.equator-network.org","pdf","data-raw/downloads/prisma-a/03_11544a48.pdf","ok",NA,NA,138082,"ab90360f33e7ba005f985fa5af056843ca8907ac3066c60916cb0a20ed5d88ab","pdf",FALSE
"prisma-a","PRISMA-A",4,"Word","https://www.equator-network.org/wp-content/uploads/2019/08/PRISMA-A-checklist-Chinese.docx","www.equator-network.org","docx","data-raw/downloads/prisma-a/04_8d13db5d.docx","ok",NA,NA,17359,"c6e3386c0508e308b506b523b2d149deccff1222fe7d0d42f526ade66bc60833","docx",FALSE
"prisma-a","PRISMA-A",5,"Read additional information (PDF)","https://www.equator-network.org/wp-content/uploads/2018/05/Appendix-1-Contributor-information-PRISMA-for-acupuncture.pdf","www.equator-network.org","pdf","data-raw/downloads/prisma-a/05_f9f54fb5.pdf","ok",NA,NA,126042,"f885aa1e95d55395b600dfd846596147e65d7c5d28271fc782848d48ca2a231c","pdf",FALSE
"record-pe","RECORD-PE",1,"French (PDF)","https://docs.google.com/viewer?url=http://www.record-statement.org/Files/pubs/2019%20-%20CMAJ%20-%20RECORD-PE%20French%20Translation.pdf","docs.google.com","","data-raw/downloads/record-pe/01_f7ac86f5","ok",NA,NA,13376,"ddb980e95a2b739f6f27f1ca8465a877a263b1e7ee830e4981fcca395dae7c0e","html",FALSE
"record-pe","RECORD-PE",2,"Japanese (PDF)","https://docs.google.com/viewer?url=http://www.record-statement.org/Files/pubs/2019%20-%20%20Japanese%20Journal%20of%20Quality%20and%20Safety%20in%20Healthcare%20-%20RECORD-PE%20Translation.pdf","docs.google.com","","data-raw/downloads/record-pe/02_accfa179","ok",NA,NA,13848,"4957fbccdb17dcd9e8488039d8c5533f7a552a5c64864935b77c67e5eb2fbb95","html",FALSE
"record-pe","RECORD-PE",3,"Part 1 (PDF)","https://docs.google.com/viewer?url=http://www.record-statement.org/Files/pubs/2019%20-%20%20Chinese%20Journal%20of%20Pharmacoepidemiology%20-%20RECORD-PE%20Translation%20-%201.pdf","docs.google.com","","data-raw/downloads/record-pe/03_bcf5c70e","ok",NA,NA,13732,"44326ac3313b323bf72275f0edfec039373149e3d1557a6751e4d36783352a76","html",FALSE
"record-pe","RECORD-PE",4,"Part 2 (PDF)","https://docs.google.com/viewer?url=http://www.record-statement.org/Files/pubs/2019%20-%20%20Chinese%20Journal%20of%20Pharmacoepidemiology%20-%20RECORD-PE%20Translation%20-%202.pdf","docs.google.com","","data-raw/downloads/record-pe/04_11aa0530","ok",NA,NA,13732,"3f151c554e4ce4f5880f0760daa83ed61e40f61db581db46e6999c766dff1f35","html",FALSE
"micro","MICRO",1,"MICRO Checklist (Word)","https://www.equator-network.org/wp-content/uploads/2019/04/MICRO_checklist_V1.docx","www.equator-network.org","docx","data-raw/downloads/micro/01_9017b4cb.docx","ok",NA,NA,42438,"5e8618db7b8989bf12d2e5bb962a2110dd288ae3d30996fe14761cc6d80302d5","docx",FALSE
"micro","MICRO",2,"MICRO Checklist (PDF)","https://www.equator-network.org/wp-content/uploads/2019/04/MICRO_checklist_V1.pdf","www.equator-network.org","pdf","data-raw/downloads/micro/02_755aa692.pdf","ok",NA,NA,206291,"40f9fe7dacdac2b353e638d143e255e9ad1d73ee817612f1e86bf7b044a29618","pdf",FALSE
"stress","STRESS",1,"STRESS-DES (Word)","https://www.tandfonline.com/doi/suppl/10.1080/17477778.2018.1442155/suppl_file/tjsm_a_1442155_sm3123.docx","www.tandfonline.com","docx","data-raw/downloads/stress/01_a3fb1e8d.docx","ok",NA,NA,5897,"f1efe978331da884b42c4d572606670ea0fb3d9c75d1248e02f5378ab6dd6b84","html",TRUE
